date;category;type;description;_category;_subcategory;amount;transaction_id;mcc_code
2025-10-21;CASH;CARD_TRANSACTION;GRAND FRAIS AULNOY;ALIMENTATION;COURSES;-39.910000;a0c41b03-3e6b-48d8-8a73-fe73cd0998ad;7399
2025-10-21;CASH;CARD_TRANSACTION;MARIE BLACHERE;ALIMENTATION;COURSES;-3.700000;d1669696-c5cc-4450-8a26-a90fea3a95e9;5462
2025-10-21;CASH;CARD_TRANSACTION;PHAR BOURGMAYER 4194069;SANTE;PHARMACIE;-95.010000;26f12192-0b3b-4977-a85f-cdfc34e07e87;5912
2025-10-21;CASH;CARD_TRANSACTION;PHARMACIE VALS  2151306;SANTE;AUTRE_MEDECINE;-6.490000;d9d00103-8e7f-4bd3-996a-afa87ad87a3f;5912
2025-10-21;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-24.590000;f2dbd52a-8cc6-46a9-804d-4ab07d999c9c;763
2025-10-22;CASH;CARD_TRANSACTION;AMZN Mktp FR*9Y2JK3YW5;ACHATS;DIVERS;-16.900000;3bd3eb94-4e51-49fc-9bd4-270d9288343a;5999
2025-10-22;CASH;CARD_TRANSACTION;LEROY MERLIN    4986085;MAISON;BRICOLAGE;-13.000000;e2cb508a-0af9-41c0-a4b4-267bfd1a5abb;5231
2025-10-22;CASH;CARD_TRANSACTION;NESPRESSO FRANCE S.A.S.;ACHATS;CAFE;-29.000000;58ece7e0-e1f5-4656-ad87-5b75db1773c3;5499
2025-10-23;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-5.000000;c0a26eae-e718-4a1b-bfec-1d8db0b34037;5499
2025-10-25;CASH;CARD_TRANSACTION;EURL A MOREAU;ALIMENTATION;BOULANGERIE;-1.100000;2af3cdb4-2222-40de-9d1e-fbbe74cf59fc;5462
2025-10-26;CASH;CARD_TRANSACTION;CHOOSE;ACHATS;DIVERS;-49.000000;11935953-7c4e-4650-ab1e-e0708b08b0ab;5817
2025-10-26;CASH;CARD_TRANSACTION;LE CYRANO       4266161;ACHATS;TABAC;-6.200000;14b171e6-9707-41a7-a1a0-c6947a7e1d0b;5813
2025-10-27;CASH;CARD_TRANSACTION;O TERA;ALIMENTATION;COURSES;-44.570000;fb9a64fd-b15f-4ade-b324-6e8e2c186514;5411
2025-10-27;CASH;CARD_TRANSACTION;TCE             4332548;LOISIRS;SPORT;-7.800000;ab3d795f-04c1-4073-96ab-ea8d0146ff6a;7991
2025-10-27;CASH;CARD_TRANSACTION;TCE             4332548;LOISIRS;SPORT;-310.000000;4692840f-02f8-4c5f-a173-ed2cb4396e68;7991
2025-10-28;CASH;CARD_TRANSACTION;RIGOLETTO;ALIMENTATION;RESTAURANTS;-34.000000;1fbcec62-8db8-47e7-8e77-95d6fc6457a7;5812
2025-10-28;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-27.250000;33f7b37e-fc4f-43b2-96a1-079fd782c775;763
2025-10-29;CASH;CARD_TRANSACTION;Amazon.fr*YT81A4MD5;ACHATS;DIVERS;-17.990000;a9400109-f0a4-4bbe-b4e5-66b4cfcde5d8;5999
2025-10-29;CASH;CARD_TRANSACTION;E0022API EDS ONE;ALIMENTATION;RESTAURANTS;-2.940000;e2427c25-589f-454d-b606-fb4e74c5c298;5814
2025-10-29;CASH;CARD_TRANSACTION;PASS;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-26.500000;b81223f7-da90-4cd0-9058-44c64cd78b47;7991
2025-10-29;CASH;CARD_TRANSACTION;PASS;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-6.000000;2612a72c-0a28-4d3f-a436-930d5244122e;7991
2025-10-29;CASH;CARD_TRANSACTION;SAS BONDUWE;ACHATS;DIVERS;-8.500000;ade55a89-f939-4331-93ca-8943a41acbc4;5814
